date,product,ticker,close,strike,level_pct,barrier_px,buf_barrier,ki_px,buf_ki
2026-06-05,B,MU,864.01001,345.09,2.503724,276.072,2.129655,86.2725,9.014895
2026-06-05,B,PLTR,135.529999,177.49,0.763592,141.992,-0.04551,44.3725,2.054369
2026-06-08,B,MU,949.280029,345.09,2.750819,276.072,2.438523,86.2725,10.003275
2026-06-08,B,PLTR,136.470001,177.49,0.768888,141.992,-0.03889,44.3725,2.075554
2026-06-09,B,MU,935.890015,345.09,2.712017,276.072,2.390021,86.2725,9.848069
2026-06-09,B,PLTR,132.070007,177.49,0.744098,141.992,-0.069877,44.3725,1.976393
2026-06-10,B,MU,891.880005,345.09,2.584485,276.072,2.230607,86.2725,9.337941
2026-06-10,B,PLTR,130.210007,177.49,0.733619,141.992,-0.082976,44.3725,1.934475
2026-06-11,B,MU,995.869995,345.09,2.885827,276.072,2.607284,86.2725,10.543307
2026-06-11,B,PLTR,131.080002,177.49,0.73852,141.992,-0.076849,44.3725,1.954082
2026-06-12,B,MU,981.609985,345.09,2.844504,276.072,2.55563,86.2725,10.378017
2026-06-12,B,PLTR,127.989998,177.49,0.721111,141.992,-0.098611,44.3725,1.884444
2026-06-15,B,MU,1087.98999,345.09,3.152772,276.072,2.940965,86.2725,11.611087
2026-06-15,B,PLTR,134.710007,177.49,0.758972,141.992,-0.051285,44.3725,2.035889
2026-06-16,B,MU,1020.76001,345.09,2.957953,276.072,2.697441,86.2725,10.831812
2026-06-16,B,PLTR,133.25,177.49,0.750747,141.992,-0.061567,44.3725,2.002986
2026-06-17,B,MU,1043.189941,345.09,3.02295,276.072,2.778688,86.2725,11.091801
2026-06-17,B,PLTR,130.630005,177.49,0.735985,141.992,-0.080019,44.3725,1.943941
2026-06-18,A,^GSPC,7500.580078,7472.79,1.003719,6351.8715,0.180846,2615.4765,1.867768
2026-06-18,A,^KS200,1459.22998,1477.22,0.987822,1255.637,0.162143,517.027,1.822348
2026-06-18,A,^N225,71053.492188,72353.96,0.982026,61500.866,0.155325,25323.886,1.805789
2026-06-18,B,MU,1133.98999,345.09,3.28607,276.072,3.107588,86.2725,12.144281
2026-06-18,B,PLTR,128.470001,177.49,0.723815,141.992,-0.095231,44.3725,1.895262
2026-06-19,A,^KS200,1459.47998,1477.22,0.987991,1255.637,0.162342,517.027,1.822831
2026-06-19,A,^N225,71250.0625,72353.96,0.984743,61500.866,0.158521,25323.886,1.813552
2026-06-22,A,^GSPC,7472.790039,7472.79,1.0,6351.8715,0.176471,2615.4765,1.857143
2026-06-22,A,^KS200,1477.219971,1477.22,1.0,1255.637,0.176471,517.027,1.857143
2026-06-22,A,^N225,72353.960938,72353.96,1.0,61500.866,0.176471,25323.886,1.857143
2026-06-22,B,MU,1211.380005,345.09,3.510331,276.072,3.387913,86.2725,13.041323
